,alpha,beta,s,c,old_crt,new_crt,t0,kappa,F_cmoonn,L_cmoonn,Lcmonno,an_oool
381,0.9084346540204771,1.316739178133045,0.03706427287344106,0.8756918943839962,3.8606936207885063,-4.2529972617744916,699.0,37.0,0.030412326922454543,0.12706085105839077,0.07046066417545542,0.030412234878421245
384,0.9999999913745671,1.1414971914283538,0.9999999982462239,0.989999994692814,1.0418408764780427,-4.8689295151851715,699.0,37.0,0.6835508684404095,1.99870476235983e-08,5.243240221547543e-10,0.1669015841985329
386,0.14049404462510942,1.2287194661252367,0.3150874964530128,0.37342231437478707,2.333173855155512,-2.6059845655349765,699.0,37.0,0.4999997865641085,0.934750771808924,0.484428986182546,0.49999969275697015
391,0.3300949983626796,1.1868126416625073,9.999999999998899e-05,0.9899999547066634,1.0,-3.1025410773899162,699.0,37.0,0.61183728835415,0.99,0.3026894773310105,0.5
396,0.1452600503196783,1.4971283463520382,0.025787793842735017,0.4073522238746354,1.0000000010336718,-4.999999902432235,699.0,37.0,0.12888561573287494,0.9899694597485478,1.8340052608858193e-10,0.03916246538026744
403,0.999998243537601,1.000001225706201,0.9999998650916663,0.99,1.0,-4.999999999758004,699.0,37.0,0.9899999854387801,0.99,0.0,0.4956721610233553
410,0.25548348742320437,1.6598623789227014,0.4122399882208127,0.5332502084847135,1.1704802032577963,-1.4217446404037828,699.0,37.0,0.5000590861220255,0.8751771610291383,0.5539546529704161,0.4999999999984735
411,0.9999999998922466,1.167106174679038,0.9999999999998777,0.9899999999997097,1.0000000000011533,-4.9813899415013445,699.0,37.0,0.9899999999548048,0.989999999999529,0.09695569734475293,0.46202914855238425
413,0.17446820932609808,2.000674555103014,0.2377011905090077,0.22446814119906133,1.6853086215085606,-3.6131062690079068,699.0,37.0,0.47220751767796343,0.8954999474938816,0.6664399100630205,0.4722072485331685
416,0.1767854889111961,1.1961777282507025,0.3098857242688561,0.3626906106380288,2.769141268098466,-3.227818147477138,699.0,37.0,0.34739790989578034,0.981389158721746,0.8164878078951707,0.3473971452330546
417,0.1992902663895195,1.232248269888178,0.7146037715464809,0.989999999999998,1.0000000000000169,-5.0,699.0,37.0,0.6289110327920301,0.99,1.554312234319788e-15,0.19687716343713643
418,0.42320866703566673,1.7143751262148308,0.4427963192567229,0.9899999999970833,1.000000000017299,-4.999999999950027,699.0,37.0,0.9542063810874093,0.99,7.08425681839601e-12,0.4999999999929158
421,0.19577511674765083,1.9032625091536435,0.0001,0.2323204350783268,1.0,-3.499848500219166,699.0,37.0,0.9899999999999469,0.99,0.22442141295679605,0.0036742872986827205
423,0.9999993052389273,1.0000057145556935,1.0,0.99,1.0,-4.999999999140117,699.0,37.0,0.9899990395592213,0.99,0.6512427201213162,0.5
426,0.9929454038839324,1.389726670733076,0.33239007046393887,0.9899999999917778,1.0000000001542402,-4.99999998889283,699.0,37.0,0.9470423406143218,0.9899999996641162,3.579359031033569e-13,0.4999999999980184
428,0.5236186643973926,1.621933041498146,0.39748520348827304,0.9899999999272456,1.0000000049841695,-4.999995255640899,699.0,37.0,0.98999998041768,0.9899999992315742,1.7685702902134342e-09,0.4999999999639142
434,0.26126888601671516,2.9996539559356807,0.00018908620842732738,0.9131927539285558,1.0,-4.999999859073446,699.0,37.0,0.9841111921053374,0.9899999949353729,8.15524869942457e-11,0.4558447216554594
441,0.7477285595180772,1.9084927164195165,0.4684430577064279,0.859816027432082,1.0,-5.0,699.0,37.0,0.99,0.99,0.00522888409734161,0.11916076459928501
