"","FileCondi","Subnum","Old","Stimkind","RT","Error"
"484","CMpure",9,"Old","CM",756,0.0104166666666666
"485","CMpure",10,"New","CM",747,0.270833333333333
"486","CMpure",10,"Old","CM",579,0.0941176470588235
"487","CMpure",11,"New","CM",525.5,0.00900900900900903
"488","CMpure",11,"Old","CM",494.5,0.0123456790123457
"489","CMpure",12,"New","CM",896.5,0.0112359550561798
"490","CMpure",12,"Old","CM",851,0.0198019801980198
"491","CMpure",13,"New","CM",680,0.0377358490566038
"492","CMpure",13,"Old","CM",786,0.0476190476190477
"493","CMpure",14,"New","CM",894,0.072289156626506
"494","CMpure",14,"Old","CM",785,0.186915887850467
"495","CMpure",16,"New","CM",644,0.0326086956521739
"496","CMpure",16,"Old","CM",618,0.0102040816326531
"497","CMpure",17,"New","CM",615.5,0.0105263157894737
"498","CMpure",17,"Old","CM",531,0
"499","CMpure",18,"New","CM",725,0.0105263157894737
"500","CMpure",18,"Old","CM",643,0.03125
"501","CMpure",20,"New","CM",1243.5,0.0505050505050505
"502","CMpure",20,"Old","CM",1270,0.166666666666667
"503","CMpure",21,"New","CM",754,0.0102040816326531
"504","CMpure",21,"Old","CM",685,0
"505","CMpure",22,"New","CM",589.5,0
"506","CMpure",22,"Old","CM",593,0.02
"507","CMpure",23,"New","CM",597,0
"508","CMpure",23,"Old","CM",557,0.0192307692307693
"509","CMpure",24,"New","CM",600,0.0104166666666666
"510","CMpure",24,"Old","CM",619,0.114583333333333
"511","CMpure",25,"New","CM",688,0.0363636363636364
"512","CMpure",25,"Old","CM",655.5,0
"513","CMpure",26,"New","CM",812,0.074468085106383
"514","CMpure",26,"Old","CM",762,0.24468085106383
"515","CMpure",27,"New","CM",1351,0.0909090909090909
"516","CMpure",27,"Old","CM",1023,0.2
"517","CMpure",28,"New","CM",815,0.103092783505155
"518","CMpure",28,"Old","CM",748,0.105263157894737
"519","CMpure",29,"New","CM",767,0.07
"520","CMpure",29,"Old","CM",734,0.151162790697674
"521","CMpure",30,"New","CM",508,0.020618556701031
"522","CMpure",30,"Old","CM",471,0.031578947368421
"523","CMpure",31,"New","CM",827,0.0101010101010101
"524","CMpure",31,"Old","CM",746,0.0760869565217391
"525","CMpure",32,"New","CM",902,0.371134020618557
"526","CMpure",32,"Old","CM",872,0.477777777777778
"527","CMpure",33,"New","CM",668,0.0729166666666666
"528","CMpure",33,"Old","CM",609,0.114583333333333
"529","CMpure",35,"New","CM",1652,0.0684931506849316
"530","CMpure",35,"Old","CM",1852,0.0333333333333333
"531","CMpure",36,"New","CM",784,0.03125
"532","CMpure",36,"Old","CM",722,0.0212765957446809
"533","CMpure",37,"New","CM",697.5,0.0101010101010101
